block,changed_label,oof_probability,predicted_at_threshold
166,1,0.5466457508222459,1
167,0,0.2335054726438607,1
168,0,0.2262916731032214,1
169,0,0.1822567349660618,1
170,0,0.6468526787626367,1
171,0,0.16398956218350355,1
172,0,0.29231719390321714,1
173,0,0.5492028589538769,1
174,0,0.5289753423767758,1
175,1,0.5928321485744195,1
176,0,0.26549336837101334,1
177,1,0.43346076609919676,1
178,0,0.4891884443065682,1
179,0,0.5333896264186082,1
180,0,0.5288765736612357,1
181,0,0.4952562165025803,1
182,1,0.4786676042926246,1
183,1,0.27597928890490386,1
184,0,0.2556143734575828,1
185,1,0.4291425238111804,1
186,0,0.1860102180103328,1
187,1,0.4201959121206458,1
188,0,0.19195631634561472,1
189,1,0.44895676194669726,1
190,1,0.2966076502067449,1
191,1,0.4213315133254148,1
192,1,0.4321637496503018,1
193,0,0.20679756820887757,1
194,1,0.4765575273279162,1
195,1,0.40266414387304744,1
196,0,0.17336568611456418,1
197,0,0.35378468655571965,1
198,0,0.23375519359456157,1
199,0,0.5944191155673227,1
200,0,0.19709030491726276,1
201,0,0.5538325433710115,1
202,0,0.3460749498703233,1
203,0,0.6632451693589833,1
204,0,0.2608666990709031,1
205,1,0.607933356407121,1
206,0,0.2966297560612457,1
207,0,0.7108330070741524,1
208,0,0.36868670337951204,1
209,0,0.5846278421858405,1
210,1,0.5215436843374998,1
211,1,0.6248897583228431,1
212,1,0.42016907927281444,1
213,1,0.6917665036927382,1
214,0,0.25355989687333436,1
215,0,0.2531880044319946,1
216,0,0.7559355208352978,1
217,0,0.7548650345103101,1
218,0,0.7622631624777476,1
219,0,0.6851207848919123,1
220,0,0.5403305148242576,1
221,0,0.4070905509231552,1
222,0,0.42027223468699254,1
223,0,0.5693743240677632,1
224,0,0.17796350116047177,1
225,0,0.35002819350159636,1
226,0,0.29791391713186594,1
227,0,0.8676623651626026,1
228,0,0.7704520753149386,1
229,0,0.7707749303270738,1
230,0,0.14211316910814575,0
231,1,0.3662363222653941,1
232,1,0.403090181426775,1
233,1,0.39749401480757307,1
234,0,0.32270430046644416,1
235,0,0.2374601357188987,1
236,1,0.6833923076132117,1
237,0,0.3002874613842316,1
238,0,0.31128079597724895,1
239,0,0.6154042392168776,1
240,0,0.7183207528556287,1
241,1,0.6482750815857313,1
242,1,0.3902194398029226,1
243,0,0.5456295974607155,1
244,0,0.4875361904509692,1
245,0,0.2899113512397934,1
246,0,0.5155735692928817,1
247,1,0.09626590967268733,0
248,0,0.5946178964547728,1
249,0,0.2280300003997095,1
250,0,0.2827800350097512,1
251,0,0.10363859804174513,0
252,0,0.6979028207372984,1
253,0,0.6935244672374341,1
254,0,0.12518273594801616,0
255,0,0.5117889168164115,1
256,0,0.09185258220021224,0
257,0,0.2786009119478592,1
258,0,0.12678168244847185,0
259,0,0.7070751194689728,1
260,0,0.44912654596890267,1
261,0,0.1675060709356422,1
262,0,0.6623131455778227,1
263,0,0.13740611076136405,0
264,0,0.65530189002825,1
265,0,0.7162665667601258,1
266,0,0.618552585607304,1
267,0,0.28687375172990287,1
268,0,0.4819012856073663,1
269,0,0.13043675573913105,0
270,1,0.28075983298508905,1
271,0,0.20517817754360462,1
272,0,0.2520313358356792,1
273,0,0.2716358937737148,1
274,0,0.4502325024020143,1
275,0,0.7745322526252099,1
276,0,0.38121114530880446,1
277,0,0.15394323210089259,1
278,0,0.6833265471866533,1
279,0,0.382161213830084,1
280,1,0.7368640845468173,1
281,1,0.6418708141042796,1
282,1,0.5070441050322323,1
283,0,0.09286391660976369,0
284,0,0.30657349983926613,1
285,1,0.7344958367532187,1
286,0,0.6191693846492526,1
287,0,0.5873548788103894,1
288,0,0.33427755849298774,1
289,0,0.425248561173266,1
290,1,0.6336440550956055,1
291,0,0.1348442311000841,0
292,0,0.5078250426769445,1
293,0,0.5635240333645514,1
294,0,0.45424639017937624,1
295,0,0.6011846079744566,1
296,1,0.4238338438699113,1
297,1,0.45630961470702647,1
298,1,0.526858265940005,1
299,1,0.4948205134263899,1
300,1,0.4135425758940459,1
301,1,0.7129239215423687,1
302,1,0.7543537408956645,1
303,1,0.7208291881283239,1
304,0,0.217102529884334,1
305,0,0.29361594836777694,1
306,1,0.4949583620055785,1
307,0,0.21608423601737814,1
308,0,0.2570101616474199,1
309,0,0.47582665674183167,1
310,0,0.37379607898400774,1
311,1,0.6790805295451341,1
312,0,0.5312173053853342,1
313,0,0.37238320960140175,1
314,1,0.6780896195101934,1
315,1,0.4304762972673116,1
316,0,0.4297483559442008,1
317,1,0.6857770899271057,1
318,0,0.7032815398922481,1
319,1,0.7086931175885741,1
320,0,0.5567870586027139,1
321,1,0.6272193166461472,1
322,0,0.3864860940983,1
323,1,0.6620566714674772,1
324,0,0.5429242487391025,1
325,0,0.618410457406247,1
326,0,0.36601911520322805,1
327,0,0.4051588581842415,1
328,0,0.4961987583574718,1
329,1,0.7697900083116318,1
330,0,0.4158416840005894,1
331,0,0.5291147266133109,1
332,0,0.2651895471372966,1
333,0,0.2734786506661269,1
334,0,0.2982892736081638,1
335,0,0.42914420628743943,1
336,1,0.8186047722801012,1
337,1,0.8451377340801126,1
338,1,0.5188936393970872,1
339,1,0.5703296919752947,1
340,1,0.5117912569538183,1
341,1,0.7553700609537785,1
342,1,0.6774705714036078,1
343,1,0.6310135776909177,1
344,1,0.4940016696855487,1
345,1,0.6375988168493814,1
346,1,0.5674981576981893,1
